"id","city","zipcode","post","county"
"3025","Krk","51500","Krk","Primorsko-goranska"
"3026","Krkač","10340","Vrbovec","Zagrebačka"
"3027","Krkanec","42205","Vidovec","Varaždinska"
"3028","Krković","22214","Čista Velika","Šibensko-kninska"
"3029","Krkuž","52425","Roč","Istarska"
"3030","Krmed","52211","Bale (Valle)","Istarska"
"3031","Krmpotske Vodice","51252","Klenovica","Primorsko-goranska"
"3032","Krndija","31424","Punitovci","Osječko-baranjska"
"3033","Krneza","23248","Ražanac","Zadarska"
"3034","Krnežići","10454","Krašić","Zagrebačka"
"3035","Krnica","52208","Krnica","Istarska"
"3036","Krničari","52341","Žminj","Istarska"
"3037","Krnići","21255","Zadvarje","Splitsko-dalmatinska"
"3038","Krnjak","47242","Krnjak","Karlovačka"
"3039","Krnjeuve","22305","Kistanje","Šibensko-kninska"
"3040","Kropinjak","52420","Buzet","Istarska"
"3041","Krstatice","21272","Slivno","Splitsko-dalmatinska"
"3042","Krstinja","47220","Vojnić","Karlovačka"
"3043","Krš","53203","Kosinj","Ličko-senjska"
"3044","Kršan","52232","Kršan","Istarska"
"3045","Kršanci","52341","Žminj","Istarska"
"3046","Krščenovec","42225","Breznički Hum","Varaždinska"
"3047","Kršete","52474","Brtonigla (Verteneglio)","Istarska"
"3048","Kršikla","52000","Pazin","Istarska"
"3049","Kršinci","31433","Podgorač","Osječko-baranjska"
"3050","Kršuli","52448","Sveti Lovreč","Istarska"
"3051","Krti","52427","Livade (Levade)","Istarska"
"3052","Kruge","53250","Donji Lapac","Ličko-senjska"
"3053","Krunčići","52448","Sveti Lovreč","Istarska"
"3054","Krunoslavje","31543","Miholjački Poreč","Osječko-baranjska"
"3055","Krupa","23450","Obrovac","Zadarska"
"3056","Krupače","10454","Krašić","Zagrebačka"
"3057","Krušak","10413","Kravarsko","Zagrebačka"
"3058","Kruščica","53203","Kosinj","Ličko-senjska"
"3059","Kruševica","35220","Slavonski Šamac","Brodsko-posavska"
"3060","Kruševo","34322","Brestovac","Požeško-slavonska"
"3061","Kruševo","23450","Obrovac","Zadarska"
"3062","Kruševo","22204","Široke","Šibensko-kninska"
"3063","Kruškovac","53000","Gospić","Ličko-senjska"
"3064","Kruškovača","47222","Cetingrad","Karlovačka"
"3065","Krušljevac","10346","Preseka","Zagrebačka"
"3066","Krušljevec","42214","Sveti Ilija","Varaždinska"
"3067","Krušljevo Selo","49243","Oroslavje","Krapinsko-zagorska"
"3068","Krušvar","21232","Dicmo","Splitsko-dalmatinska"
"3069","Krušvari","52420","Buzet","Istarska"
"3070","Krvavac I","20341","Kula Norinska","Dubrovačko-neretvanska"
"3071","Krvavac II","20350","Metković","Dubrovačko-neretvanska"
"3072","Krvavica","21320","Baška Voda","Splitsko-dalmatinska"
"3073","Krželji","21255","Zadvarje","Splitsko-dalmatinska"
"3074","Kuberton","52462","Momjan (Momiano)","Istarska"
"3075","Kučaj","47300","Ogulin","Karlovačka"
"3076","Kučari","48265","Raven","Koprivničko-križevačka"
"3077","Kuče","10419","Vukovina","Zagrebačka"
"3078","Kučeli","51211","Matulji","Primorsko-goranska"
"3079","Kučer","10454","Krašić","Zagrebačka"
"3080","Kučiće","21208","Kučiće","Splitsko-dalmatinska"
"3081","Kučilovina","10362","Kašina","Grad zagreb"
"3082","Kučine","21209","Mravince","Splitsko-dalmatinska"
"3083","Kućan Ludbreški","42230","Ludbreg","Varaždinska"
"3084","Kućan Marof","42000","Varaždin","Varaždinska"
"3085","Kućanci","31542","Magadenovac","Osječko-baranjska"
"3086","Kućanci Đakovački","31418","Drenje","Osječko-baranjska"
"3087","Kućanec","10360","Sesvete","Grad zagreb"
"3088","Kućari","10340","Vrbovec","Zagrebačka"
"3089","Kućevice","47271","Netretić","Karlovačka"
"3090","Kućibreg","52462","Momjan (Momiano)","Istarska"
"3091","Kućišta Cesarička","53288","Karlobag","Ličko-senjska"
"3092","Kućište","20267","Kućište","Dubrovačko-neretvanska"
"3093","Kujići","52207","Barban","Istarska"
"3094","Kujnik","34322","Brestovac","Požeško-slavonska"
"3095","Kujnik","35250","Oriovac","Brodsko-posavska"
"3096","Kuk","47222","Cetingrad","Karlovačka"
"3097","Kukci","52446","Nova Vas","Istarska"
"3098","Kukljica","23271","Kukljica","Zadarska"
"3099","Kukljić","53000","Gospić","Ličko-senjska"
"3100","Kukuljani","51218","Dražice","Primorsko-goranska"
"3101","Kukuljanovo","51227","Kukuljanovo","Primorsko-goranska"
"3102","Kukunjevac","34551","Lipik","Požeško-slavonska"
"3103","Kukurini","52332","Pićan","Istarska"
"3104","Kula","34343","Bektež","Požeško-slavonska"
"3105","Kula Atlagić","23420","Benkovac","Zadarska"
"3106","Kula Norinska","20341","Kula Norinska","Dubrovačko-neretvanska"
"3107","Kuljaji","47285","Radatovići","Karlovačka"
"3108","Kuljani","44435","Divuša","Sisačko-moslavačka"
"3109","Kumrovec","49295","Kumrovec","Krapinsko-zagorska"
"3110","Kuna Konavoska","20217","Pridvorje","Dubrovačko-neretvanska"
"3111","Kuna Pelješka","20243","Kuna","Dubrovačko-neretvanska"
"3112","Kunčani","47285","Radatovići","Karlovačka"
"3113","Kunđevec","48260","Križevci","Koprivničko-križevačka"
"3114","Kunić","47304","Plaški","Karlovačka"
"3115","Kunić Ribnički","47271","Netretić","Karlovačka"
"3116","Kunišinci","31555","Marijanci","Osječko-baranjska"
"3117","Kunovac","23452","Karin","Zadarska"
"3118","Kunovac Kupirovački","23445","Srb","Zadarska"
"3119","Kunovci","34000","Požega","Požeško-slavonska"
"3120","Kunovec","48311","Kunovec","Koprivničko-križevačka"
"3121","Kunovec Breg","48000","Koprivnica","Koprivničko-križevačka"
"3122","Kunj","52220","Labin","Istarska"
"3123","Kupa","51301","Brod na Kupi","Primorsko-goranska"
"3124","Kupari","20207","Mlini","Dubrovačko-neretvanska"
"3125","Kupčina Žumberačka","10455","Kostanjevac","Zagrebačka"
"3126","Kupeć Dol","10453","Gorica Svetojanska","Zagrebačka"
"3127","Kupina","35216","Prnjavor","Brodsko-posavska"
"3128","Kupinec","10450","Jastrebarsko","Zagrebačka"
"3129","Kupinečki Kraljevec","10257","Brezovica","Grad zagreb"
"3130","Kupinovac","43000","Bjelovar","Bjelovarsko-bilogorska"
"3131","Kupirovo","23445","Srb","Zadarska"
"3132","Kupjak","51313","Kupjak","Primorsko-goranska"
"3133","Kupljenovo","10295","Kupljenovo","Zagrebačka"
"3134","Kupljensko","47220","Vojnić","Karlovačka"
"3135","Kurili","52352","Kanfanar","Istarska"
"3136","Kurjak","53234","Udbina","Ličko-senjska"
"3137","Kurjavići","52463","Višnjan (Visignano)","Istarska"
"3138","Kurpezova Gorica","10454","Krašić","Zagrebačka"
"3139","Kuršanec","40000","Čakovec","Međimurska"
"3140","Kusaja","47220","Vojnić","Karlovačka"
"3141","Kusanovec","10370","Dugo Selo","Zagrebačka"
"3142","Kusijevec","48268","Gornja Rijeka","Koprivničko-križevačka"
"3143","Kusonje","34550","Pakrac","Požeško-slavonska"
"3144","Kustići","53296","Zubovići","Ličko-senjska"
"3145","Kuševac","31400","Đakovo","Osječko-baranjska"
"3146","Kuštani","48214","Sveti Ivan Žabno","Koprivničko-križevačka"
"3147","Kutanja","47240","Slunj","Karlovačka"
"3148","Kuterevo","53220","Otočac","Ličko-senjska"
"3149","Kutina","44320","Kutina","Sisačko-moslavačka"
"3150","Kutinica","44320","Kutina","Sisačko-moslavačka"
"3151","Kutinska Slatina","44320","Kutina","Sisačko-moslavačka"
"3152","Kutjevo","34340","Kutjevo","Požeško-slavonska"
"3153","Kutnjak","48317","Legrad","Koprivničko-križevačka"
"3154","Kutovi","33513","Zdenci","Virovitičko-podravska"
"3155","Kuzma","33520","Slatina","Virovitičko-podravska"
"3156","Kuzma Perjasička","47252","Barilović","Karlovačka"
"3157","Kuzmica","34311","Kuzmica","Požeško-slavonska"
"3158","Kuzminec","48312","Rasinja","Koprivničko-križevačka"
"3159","Kuzminec Miljanski","49296","Zagorska Sela","Krapinsko-zagorska"
"3160","Kuzminec/dio/1-81 i 88-dalje","49252","Mihovljan","Krapinsko-zagorska"
"3161","Kuzminec/dio/82-87","49255","Novi Golubovec","Krapinsko-zagorska"
"3162","Kuželj","51302","Kuželj","Primorsko-goranska"
"3163","Kvarte","53202","Perušić","Ličko-senjska"
"3164","Labin","52220","Labin","Istarska"
"3165","Labin","21201","Prgomet","Splitsko-dalmatinska"
"3166","Labinci","52464","Kaštelir (Castelliere)","Istarska"
"3167","Lacići","31542","Magadenovac","Osječko-baranjska"
"3168","Ladešići","47271","Netretić","Karlovačka"
"3169","Ladići","52352","Kanfanar","Istarska"
"3170","Ladimirevci","31550","Valpovo","Osječko-baranjska"
"3171","Ladina","10342","Dubrava","Zagrebačka"
"3172","Ladinec","48214","Sveti Ivan Žabno","Koprivničko-križevačka"
"3173","Ladislav","43284","Hercegovac","Bjelovarsko-bilogorska"
"3174","Ladislav Sokolovački","48306","Sokolovac","Koprivničko-križevačka"
"3175","Ladislavec","49250","Zlatar","Krapinsko-zagorska"
"3176","Ladrovići","52440","Poreč (Parenzo)","Istarska"
"3177","Ladvenjak","47241","Cerovac Vukmanički","Karlovačka"
"3178","Ladvić","51260","Crikvenica","Primorsko-goranska"
"3179","Lađanska","31225","Breznica Našička","Osječko-baranjska"
"3180","Lađevac","35430","Okučani","Brodsko-posavska"
"3181","Lađevačko Selište","47240","Slunj","Karlovačka"
"3182","Lađevci","22214","Čista Velika","Šibensko-kninska"
"3183","Laginji","52341","Žminj","Istarska"
"3184","Lakmartin","51517","Kornić","Primorsko-goranska"
"3185","Lakovići","52448","Sveti Lovreč","Istarska"
"3186","Laktac","21233","Hrvace","Splitsko-dalmatinska"
"3187","Laktec","10382","Donja Zelina","Zagrebačka"
"3188","Lakušija","34310","Pleternica","Požeško-slavonska"
"3189","Lalići","43203","Kapela","Bjelovarsko-bilogorska"
"3190","Laminac","43246","Štefanje","Bjelovarsko-bilogorska"
"3191","Lančić","42240","Ivanec","Varaždinska"
"3192","Lanišće","52232","Kršan","Istarska"
"3193","Lanišće","52422","Lanišće","Istarska"
"3194","Lanišće","10453","Gorica Svetojanska","Zagrebačka"
"3195","Lapat","47304","Plaški","Karlovačka"
"3196","Lapovci","31411","Trnava","Osječko-baranjska"
"3197","Lapšina","40313","Sveti Martin na Muri","Međimurska"
"3198","Lasinja","47206","Lasinja","Karlovačka"
"3199","Laslavići","47251","Bosiljevo","Karlovačka"
"3200","Laslovo","31214","Laslovo (Szentlászló)","Osječko-baranjska"
"3201","Lasovac","43273","Bulinac","Bjelovarsko-bilogorska"
"3202","Lasovac-Brdo","43273","Bulinac","Bjelovarsko-bilogorska"
"3203","Lastine","49231","Hum na Sutli","Krapinsko-zagorska"
"3204","Lastovo","20290","Lastovo","Dubrovačko-neretvanska"
"3205","Lašići","52447","Vižinada (Visinada)","Istarska"
"3206","Latin","47304","Plaški","Karlovačka"
"3207","Latinovac","34350","Čaglin","Požeško-slavonska"
"3208","Lautari","51307","Prezid","Primorsko-goranska"
"3209","Laz","23234","Vir","Zadarska"
"3210","Laz Bistrički","49246","Marija Bistrica","Krapinsko-zagorska"
"3211","Laz Stubički","49246","Marija Bistrica","Krapinsko-zagorska"
"3212","Lazac Lokvarski","51316","Lokve","Primorsko-goranska"
"3213","Lazarići","52232","Kršan","Istarska"
"3214","Laze","35422","Zapolje","Brodsko-posavska"
"3215","Laze Prnjavor","34000","Požega","Požeško-slavonska"
"3216","Lazi","51305","Tršće","Primorsko-goranska"
"3217","Lazi Krapinski","49000","Krapina","Krapinsko-zagorska"
"3218","Lazi Turopoljski","10410","Velika Gorica","Zagrebačka"
"3219","Lazina","47201","Draganići","Karlovačka"
"3220","Lazina Čička","10415","Novo Čiče","Zagrebačka"
"3221","Lećevica","21202","Lećevica","Splitsko-dalmatinska"
"3222","Ledenice","51251","Ledenice","Primorsko-goranska"
"3223","Ledenik","31224","Koška","Osječko-baranjska"
"3224","Ledenik Cesarički","53288","Karlobag","Ličko-senjska"
"3225","Ledina","10346","Preseka","Zagrebačka"
"3226","Ledine Klanječke","49290","Klanjec","Krapinsko-zagorska"
"3227","Ledinec","42201","Beretinec","Varaždinska"
"3228","Legovići","52463","Višnjan (Visignano)","Istarska"
"3229","Legrad","48317","Legrad","Koprivničko-križevačka"
"3230","Lekenik","44272","Lekenik","Sisačko-moslavačka"
"3231","Lekneno","10410","Velika Gorica","Zagrebačka"
"3232","Lemeš","48265","Raven","Koprivničko-križevačka"
"3233","Lemeš Križevački","48260","Križevci","Koprivničko-križevačka"
"3234","Lenišće","49215","Tuhelj","Krapinsko-zagorska"
"3235","Lepa Ves","49240","Donja Stubica","Krapinsko-zagorska"
"3236","Lepajci","49224","Lepajci","Krapinsko-zagorska"
"3237","Lepavina","48306","Sokolovac","Koprivničko-križevačka"
"3238","Lepenica","22206","Boraja","Šibensko-kninska"
"3239","Lepoglava","42250","Lepoglava","Varaždinska"
"3240","Lepoglavec","49290","Klanjec","Krapinsko-zagorska"
"3241","Leprovica","10370","Dugo Selo","Zagrebačka"
"3242","Lepšić","10310","Ivanić-Grad","Zagrebačka"
"3243","Lepuri","23420","Benkovac","Zadarska"
"3244","Lesci","51328","Lukovdol","Primorsko-goranska"
"3245","Lesišćina","52426","Lupoglav","Istarska"
"3246","Leska","51317","Crni Lug","Primorsko-goranska"
"3247","Leskova Draga","51313","Kupjak","Primorsko-goranska"
"3248","Leskovac Barilovićki","47252","Barilović","Karlovačka"
"3249","Leskovec","40312","Štrigova","Međimurska"
"3250","Leskovec Toplički","42223","Varaždinske Toplice","Varaždinska"
"3251","Lešće","47262","Generalski Stol","Karlovačka"
"3252","Leštakovec","42203","Jalžabet","Varaždinska"
"3253","Letaj","52232","Kršan","Istarska"
"3254","Letajac","52220","Labin","Istarska"
"3255","Letičani","43000","Bjelovar","Bjelovarsko-bilogorska"
"3256","Letinac","53260","Brinje","Ličko-senjska"
"3257","Letovanić","44273","Sela","Sisačko-moslavačka"
"3258","Letovčan Novodvorski","49290","Klanjec","Krapinsko-zagorska"
"3259","Letovčan Tomaševečki","49290","Klanjec","Krapinsko-zagorska"
"3260","Levanjska Varoš","31416","Levanjska Varoš","Osječko-baranjska"
"3261","Levinovac","33533","Pivnica Slavonska","Virovitičko-podravska"
"3262","Levkušje","47286","Mahično","Karlovačka"
"3263","Lič","51323","Lič","Primorsko-goranska"
"3264","Lička Jesenica","47306","Saborsko","Karlovačka"
"3265","Lički Čitluk","53000","Gospić","Ličko-senjska"
"3266","Lički Novi","53000","Gospić","Ličko-senjska"
"3267","Lički Osik","53201","Lički Osik","Ličko-senjska"
"3268","Lički Ribnik","53000","Gospić","Ličko-senjska"
"3269","Ličko Cerje","53244","Lovinac","Ličko-senjska"
"3270","Ličko Lešće","53224","Ličko Lešće","Ličko-senjska"
"3271","Ličko Novo Selo","31511","Đurđenovac","Osječko-baranjska"
"3272","Ličko Petrovo Selo","53233","Ličko Petrovo Selo","Ličko-senjska"
"3273","Liganj","51415","Lovran","Primorsko-goranska"
"3274","Liješće","47285","Radatovići","Karlovačka"
"3275","Lijeva Luka","44201","Martinska Ves","Sisačko-moslavačka"
"3276","Lijeva Martinska Ves","44201","Martinska Ves","Sisačko-moslavačka"
"3277","Lijevi Degoj","10414","Pokupsko","Zagrebačka"
"3278","Lijevi Dubrovčak","10316","Lijevi Dubrovčak","Zagrebačka"
"3279","Lijevi Štefanki","10414","Pokupsko","Zagrebačka"
"3280","Lijevo Sredičko","10451","Pisarovina","Zagrebačka"
"3281","Lijevo Trebarjevo","44201","Martinska Ves","Sisačko-moslavačka"
"3282","Lijevo Željezno","44201","Martinska Ves","Sisačko-moslavačka"
"3283","Lila","31500","Našice","Osječko-baranjska"
"3284","Linardići","51511","Malinska","Primorsko-goranska"
"3285","Lindar","52000","Pazin","Istarska"
"3286","Lipa","47261","Zvečaj","Karlovačka"
"3287","Lipa","51214","Šapjane","Primorsko-goranska"
"3288","Lipice","53261","Križpolje","Ličko-senjska"
"3289","Lipik","34551","Lipik","Požeško-slavonska"
"3290","Lipine","31500","Našice","Osječko-baranjska"
"3291","Lipje","47212","Skakavac","Karlovačka"
"3292","Liplje","51329","Severin na Kupi","Primorsko-goranska"
"3293","Lipnica","10347","Rakovec","Zagrebačka"
"3294","Lipnica","10253","Donji Dragonožec","Grad zagreb"
"3295","Lipnica Zagorska","49215","Tuhelj","Krapinsko-zagorska"
"3296","Lipnik","47272","Ribnik","Karlovačka"
"3297","Lipošćaki","47251","Bosiljevo","Karlovačka"
"3298","Lipov Pesak","47261","Zvečaj","Karlovačka"
"3299","Lipovac","32246","Lipovac","Vukovarsko-srijemska"
"3300","Lipovac","47245","Rakovica","Karlovačka"
"3301","Lipovac","34550","Pakrac","Požeško-slavonska"
"3302","Lipovac","33411","Gradina","Virovitičko-podravska"
"3303","Lipovac Hrastinski","31403","Vuka","Osječko-baranjska"
"3304","Lipovac Krstinjski","47220","Vojnić","Karlovačka"
"3305","Lipovac Majur","43500","Daruvar","Bjelovarsko-bilogorska"
"3306","Lipovača","32010","Vukovar","Vukovarsko-srijemska"
"3307","Lipovača Drežnička","47246","Drežnik Grad","Karlovačka"
"3308","Lipovčani","43211","Predavac","Bjelovarsko-bilogorska"
"3309","Lipovec","49282","Konjščina","Krapinsko-zagorska"
"3310","Lipovec Lonjski","10312","Kloštar Ivanić","Zagrebačka"
"3311","Lipovljani","44322","Lipovljani","Sisačko-moslavačka"
"3312","Lipovlje","53220","Otočac","Ličko-senjska"
"3313","Lipovnik","42244","Klenovnik","Varaždinska"
"3314","Lipovo Brdo","43203","Kapela","Bjelovarsko-bilogorska"
"3315","Lipovo Polje","53203","Kosinj","Ličko-senjska"
"3316","Lisac","51217","Klana","Primorsko-goranska"
"3317","Lisac","20231","Doli","Dubrovačko-neretvanska"
"3318","Lisičić","23420","Benkovac","Zadarska"
"3319","Lisičina Gorica","47251","Bosiljevo","Karlovačka"
"3320","Lisičine","33520","Slatina","Virovitičko-podravska"
"3321","Lisine","47220","Vojnić","Karlovačka"
"3322","Liska","21232","Dicmo","Splitsko-dalmatinska"
"3323","Lišane Ostrovičke","23420","Benkovac","Zadarska"
"3324","Lišane Tinjske","23423","Polača","Zadarska"
"3325","Lišnica","47250","Duga Resa","Karlovačka"
"3326","Lišnjak","22320","Drniš","Šibensko-kninska"
"3327","Livade","52427","Livade (Levade)","Istarska"
"3328","Livađani","34551","Lipik","Požeško-slavonska"
"3329","Livana","31431","Čepin","Osječko-baranjska"
"3330","Ližnjan","52204","Ližnjan (Lisignano)","Istarska"
"3331","Lobor","49253","Lobor","Krapinsko-zagorska"
"3332","Loborika","52206","Marčana","Istarska"
"3333","Lokošin Dol","10450","Jastrebarsko","Zagrebačka"
"3334","Lokva Rogoznica","21317","Lokva Rogoznica","Splitsko-dalmatinska"
"3335","Lokve","51316","Lokve","Primorsko-goranska"
"3336","Lokvica","51312","Brod Moravice","Primorsko-goranska"
"3337","Lokvičići","21263","Krivodol","Splitsko-dalmatinska"
"3338","Lončar Brdo","47271","Netretić","Karlovačka"
"3339","Lončarica","43290","Grubišno Polje","Bjelovarsko-bilogorska"
"3340","Londžica","31500","Našice","Osječko-baranjska"
"3341","Lonja","44203","Gušće","Sisačko-moslavačka"
"3342","Lonjgari","47271","Netretić","Karlovačka"
"3343","Lonjica","10341","Lonjica","Zagrebačka"
"3344","Lopača","51218","Dražice","Primorsko-goranska"
"3345","Lopar","51281","Lopar","Primorsko-goranska"
"3346","Lopatinec","40311","Lopatinec","Međimurska"
"3347","Lopud","20222","Lopud","Dubrovačko-neretvanska"
"3348","Loskunja","47220","Vojnić","Karlovačka"
"3349","Lotine","44435","Divuša","Sisačko-moslavačka"
"3350","Lovas","32237","Lovas","Vukovarsko-srijemska"
"3351","Lovča","44431","Donji Kukuruzari","Sisačko-moslavačka"
"3352","Lovčić","35253","Brodski Stupnik","Brodsko-posavska"
"3353","Lović Prekriški","47283","Vivodina","Karlovačka"
"3354","Lovinac","53244","Lovinac","Ličko-senjska"
"3355","Lovinac","23241","Poličnik","Zadarska"
"3356","Lovište","20269","Lovište","Dubrovačko-neretvanska"
"3357","Lovorje","20357","Blace","Dubrovačko-neretvanska"
"3358","Lovorno","20217","Pridvorje","Dubrovačko-neretvanska"
"3359","Lovran","51415","Lovran","Primorsko-goranska"
"3360","Lovranska Draga","51415","Lovran","Primorsko-goranska"
"3361","Lovrečan","49247","Zlatar Bistrica","Krapinsko-zagorska"
"3362","Lovrečan","42242","Radovan","Varaždinska"
"3363","Lovrečica","52470","Umag (Umago)","Istarska"
"3364","Lovrečka Varoš","10340","Vrbovec","Zagrebačka"
"3365","Lovrečka Velika","10340","Vrbovec","Zagrebačka"
"3366","Lovreć","21257","Lovreć","Splitsko-dalmatinska"
"3367","Lovreća Sela","49217","Krapinske Toplice","Krapinsko-zagorska"
"3368","Lovrentovec","42223","Varaždinske Toplice","Varaždinska"
"3369","Lovska","44330","Novska","Sisačko-moslavačka"
"3370","Lozan","33404","Špišić Bukovica","Virovitičko-podravska"
"3371","Lozari","52460","Buje (Buie)","Istarska"
"3372","Lozica","20236","Mokošica","Dubrovačko-neretvanska"
"3373","Lozice","23234","Vir","Zadarska"
"3374","Loznati","51557","Cres","Primorsko-goranska"
"3375","Lozovac","22221","Lozovac","Šibensko-kninska"
"3376","Ložišća","21404","Ložišća","Splitsko-dalmatinska"
"3377","Ložnice","22204","Široke","Šibensko-kninska"
"3378","Lubarska","51218","Dražice","Primorsko-goranska"
"3379","Lubena","10345","Gradec","Zagrebačka"
"3380","Lubenice","51557","Cres","Primorsko-goranska"
"3381","Luč","31300","Beli Manastir","Osječko-baranjska"
"3382","Lučane","21230","Sinj","Splitsko-dalmatinska"
"3383","Lučelnica","10451","Pisarovina","Zagrebačka"
"3384","Lučelnica Tomaševečka","49290","Klanjec","Krapinsko-zagorska"
"3385","Lučica","47252","Barilović","Karlovačka"
"3386","Lučica","23234","Vir","Zadarska"
"3387","Lučice","51300","Delnice","Primorsko-goranska"
"3388","Lučinci","34322","Brestovac","Požeško-slavonska"
"3389","Lučko","10250","Lučko","Grad zagreb"
"3390","Ludbreg","42230","Ludbreg","Varaždinska"
"3391","Ludbreški Ivanec","48312","Rasinja","Koprivničko-križevačka"
"3392","Ludinica","44316","Velika Ludina","Sisačko-moslavačka"
"3393","Ludvinci","32225","Bobota","Vukovarsko-srijemska"
"3394","Lug","47201","Draganići","Karlovačka"
"3395","Lug","31328","Lug (Laskó)","Osječko-baranjska"
"3396","Lug Gradinski","33411","Gradina","Virovitičko-podravska"
"3397","Lug Orehovički","49228","Brestovec Orehovički","Krapinsko-zagorska"
"3398","Lug Pozn.-Naselje M.Novosela","49221","Bedekovčina","Krapinsko-zagorska"
"3399","Lug Pozn.-Naselje zagor.put","49221","Bedekovčina","Krapinsko-zagorska"
"3400","Lug Poznanovečki (dio)","49222","Poznanovec","Krapinsko-zagorska"
"3401","Lug Samoborski","10432","Bregana","Zagrebačka"
"3402","Lug Subotički","31224","Koška","Osječko-baranjska"
"3403","Lug Zabočki","49210","Zabok","Krapinsko-zagorska"
"3404","Lugarski Breg","10293","Dubravica","Zagrebačka"
"3405","Luka","10340","Vrbovec","Zagrebačka"
"3406","Luka","10296","Luka","Zagrebačka"
"3407","Luka","20230","Ston","Dubrovačko-neretvanska"
"3408","Luka","23282","Žman","Zadarska"
"3409","Luka Krmpotska","51252","Klenovica","Primorsko-goranska"
"3410","Luka Ludbreška","42233","Sveti Đurđ","Varaždinska"
"3411","Luka Pokupska","47203","Rečica","Karlovačka"
"3412","Lukač","33406","Lukač","Virovitičko-podravska"
"3413","Lukač","34335","Vetovo","Požeško-slavonska"
"3414","Lukačevec","48268","Gornja Rijeka","Koprivničko-križevačka"
"3415","Lukačevec Toplički","42223","Varaždinske Toplice","Varaždinska"
"3416","Lukar","22303","Oklaj","Šibensko-kninska"
"3417","Lukarišće","10370","Dugo Selo","Zagrebačka"
"3418","Lukavac","33520","Slatina","Virovitičko-podravska"
"3419","Lukavec","10412","Donja Lomnica","Zagrebačka"
"3420","Lukavec","42242","Radovan","Varaždinska"
"3421","Lukavec Klanječki","49294","Kraljevec na Sutli","Krapinsko-zagorska"
"3422","Lukavec Posavski","44203","Gušće","Sisačko-moslavačka"
"3423","Lukavec Sutlanski","10293","Dubravica","Zagrebačka"
"3424","Luke","47222","Cetingrad","Karlovačka"
"3425","Luke Poljanske","49296","Zagorska Sela","Krapinsko-zagorska"
"3426","Lukeži","51218","Dražice","Primorsko-goranska"
"3427","Lukinić Brdo","10414","Pokupsko","Zagrebačka"
"3428","Lukinić Draga","47282","Kamanje","Karlovačka"
"3429","Lukoran","23274","Lukoran","Zadarska"
"3430","Lukovčak","49225","Đurmanec","Krapinsko-zagorska"
"3431","Lukovdol","51328","Lukovdol","Primorsko-goranska"
"3432","Lukovec","48312","Rasinja","Koprivničko-križevačka"
"3433","Lukovo","53284","Sveti Juraj","Ličko-senjska"
"3434","Lukovo","10340","Vrbovec","Zagrebačka"
"3435","Lukovo Šugarje","53289","Lukovo Šugarje","Ličko-senjska"
"3436","Lukšići Ozaljski","47280","Ozalj","Karlovačka"
"3437","Lumbarda","20263","Lumbarda","Dubrovačko-neretvanska"
"3438","Lumbardenik","47240","Slunj","Karlovačka"
"3439","Lun","53294","Lun","Ličko-senjska"
"3440","Lunjkovec","42231","Mali Bukovec","Varaždinska"
"3441","Lupinjak","49231","Hum na Sutli","Krapinsko-zagorska"
"3442","Lupoglav","52426","Lupoglav","Istarska"
"3443","Lupoglav","10370","Dugo Selo","Zagrebačka"
"3444","Luščani","44204","Jabukovac","Sisačko-moslavačka"
"3445","Lužan","10363","Belovar","Grad zagreb"
"3446","Lužan Biškupečki","42204","Turčin","Varaždinska"
"3447","Lužani","35257","Lužani","Brodsko-posavska"
"3448","Lužani Zagorski","49233","Gornje Jesenje","Krapinsko-zagorska"
"3449","Lužnica","10290","Zaprešić","Grad zagreb"
"3450","Ljeskovac","44440","Dvor","Sisačko-moslavačka"
"3451","Lještani","35430","Okučani","Brodsko-posavska"
"3452","Ljubač","23248","Ražanac","Zadarska"
"3453","Ljubač","20234","Orašac","Dubrovačko-neretvanska"
"3454","Ljubač","22300","Knin","Šibensko-kninska"
"3455","Ljubački Stanovi","23248","Ražanac","Zadarska"
"3456","Ljubelj","42222","Ljubeščica","Varaždinska"
"3457","Ljubelj Kalnički","42222","Ljubeščica","Varaždinska"
"3458","Ljubešćica","42222","Ljubeščica","Varaždinska"
"3459","Ljubina","44440","Dvor","Sisačko-moslavačka"
"3460","Ljubitovica","21201","Prgomet","Splitsko-dalmatinska"
"3461","Ljubljanica","44201","Martinska Ves","Sisačko-moslavačka"
"3462","Ljubostinje","22323","Unešić","Šibensko-kninska"
"3463","Ljubošina","51327","Gomirje","Primorsko-goranska"
"3464","Ljubotić","22303","Oklaj","Šibensko-kninska"
"3465","Ljubović","23440","Gračac","Zadarska"
"3466","Ljudevit Selo","43500","Daruvar","Bjelovarsko-bilogorska"
"3467","Ljupina","35400","Nova Gradiška","Brodsko-posavska"
"3468","Ljut","21245","Tijarica","Splitsko-dalmatinska"
"3469","Ljuta","20217","Pridvorje","Dubrovačko-neretvanska"
"3470","Ljutići","51511","Malinska","Primorsko-goranska"
"3471","Macinec","40306","Macinec","Međimurska"
"3472","Macute","33522","Voćin","Virovitičko-podravska"
"3473","Mače","49251","Mače","Krapinsko-zagorska"
"3474","Mački","10344","Farkaševac","Zagrebačka"
"3475","Mačkovac","33520","Slatina","Virovitičko-podravska"
"3476","Mačkovac","35400","Nova Gradiška","Brodsko-posavska"
"3477","Mačkovec","40000","Čakovec","Međimurska"
